127.0.0.1_29002 -> 10:08:38.574728 raft.go:189: logger initialized
127.0.0.1_29002 -> 10:08:38.574963 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:38.859893 raft.go:620: Soy un candidate
127.0.0.1_29002 -> 10:08:38.859945 raft.go:387: Enviando peticion de voto a nodo  0  con mandato  1  y entries  -1   0
127.0.0.1_29002 -> 10:08:38.859976 raft.go:387: Enviando peticion de voto a nodo  2  con mandato  1  y entries  -1   0
127.0.0.1_29002 -> 10:08:38.860945 raft.go:540: Respuesta de nodo  0  a la petición de voto:  &{1 false}
127.0.0.1_29002 -> 10:08:38.904172 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:38.904637 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:38.955681 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.007925 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.059519 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.110317 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.161751 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.212361 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.262962 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.314964 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.365111 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.415874 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.467305 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.519155 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.570816 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.621691 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.672882 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.723277 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.774028 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.825589 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.876626 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.928132 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:39.979871 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.030833 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.081719 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.133443 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.184075 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.234918 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.286558 raft.go:608: Soy follower
127.0.0.1_29002 -> 10:08:40.338481 raft.go:608: Soy follower
